price_tier,n_products,avg_rating,csi_score,weighted_csi_score
Budget (<500),501,4.069061876247504,81.3812375249501,82.11656122226766
Mid (500-1500),400,4.0835,81.67,82.2949961601843
Premium (1500-5000),246,4.085772357723577,81.71544715447155,82.0574743969081
Luxury (5000+),203,4.17192118226601,83.4384236453202,82.73422927029672
